"Carimbo de data/hora","Título do Livro Lido:","Com quantos anos você leu esse livro?","Quanto tempo você gastou para ler?(Tempo em meses)","Em uma escala o quanto você gostou do livro?","Qual sentimento esse livro provocou em você?"
"2020/10/01 12:37:28 PM GMT-3","Dom Casmurro","13","2","5","Reflexão"
"2020/10/01 1:30:35 PM GMT-3","Sim, Sesinho","13","1","5","Alegria"
"2020/10/01 1:34:57 PM GMT-3","Vários","27","300","5","Motivação"
"2020/10/01 1:35:47 PM GMT-3","Querido John","15","1","5","Raiva"
"2020/10/01 1:36:42 PM GMT-3","Vários","13","1","5","Reflexão"
"2020/10/01 1:37:26 PM GMT-3","O Alquimista","23","2","5","Reflexão"
"2020/10/01 1:37:34 PM GMT-3","Não sou uma dessas","26","1","5","Reflexão"
"2020/10/01 1:37:52 PM GMT-3","The Walking Dead ","17","3","3","Medo"
"2020/10/01 1:37:57 PM GMT-3","A Revolução dos Bichos","23","2","5","Raiva"
"2020/10/01 1:38:38 PM GMT-3","Sim. Percy Jackson ","13","5","5","Paixão"
"2020/10/01 1:41:40 PM GMT-3","Sim, Harry Pitter e a Cabana","17 ","1","4","Reflexão"
"2020/10/01 1:42:14 PM GMT-3","O poder da ação. Pai rico pai pobre. Como fazer amigos e influenciar pessoas.","23","3 ","5","Reflexão"
"2020/10/01 1:44:13 PM GMT-3","Já li mais de 200 livros até o momento. Alguns títulos foram: A Divina Comédia, 1984, A revolução dos bichos, Na pior em Paris e Londres, Uma vida interrompida, As Brumas de Avalon, O diário de Anne Frank, O programador apaixonado, It a coisa, O mundo de Sofia, O rei das mentiras, Holocausto Brasileiro entre outros...","12","0","4","Reflexão"
"2020/10/01 1:45:34 PM GMT-3","O caçador de pipas ","10","1","5","Reflexão"
"2020/10/01 1:46:36 PM GMT-3","O extraordinário ","20","1","5","Paixão"
"2020/10/01 1:47:50 PM GMT-3","A inocência termina aos XVI","16 ","1","5","Reflexão"
"2020/10/01 1:51:23 PM GMT-3","Os elefantes nunca esquecem","21","2","4","Reflexão"
"2020/10/01 1:52:28 PM GMT-3","Justino , o retirante ","14","1 ","5","Reflexão"
"2020/10/01 1:55:46 PM GMT-3","Sim, O dia do Curinga","14","0","5","Reflexão"
"2020/10/01 1:56:33 PM GMT-3","Princesa das águas","13 ","0","5","Paixão"
"2020/10/01 1:57:11 PM GMT-3","O pequeno príncipe ","16","1 ","5","Reflexão"
"2020/10/01 1:58:04 PM GMT-3","A Saga do Harry Potter","1","20","5","Alegria"
"2020/10/01 1:58:35 PM GMT-3","O Hobbit","18","1","5","Motivação"
"2020/10/01 1:59:04 PM GMT-3","Sim, querido jonh","27","1 ","5","Paixão"
"2020/10/01 1:59:24 PM GMT-3","A Magia","27","4","5","Reflexão"
"2020/10/01 2:00:00 PM GMT-3","F*deu Geral","29","2","5","Reflexão"
"2020/10/01 2:00:56 PM GMT-3","Confissões de uma garota excluida, mal-amada e (um pouco) dramatica","14","0","5","Paixão"
"2020/10/01 2:01:33 PM GMT-3","Maturidade - Luciano Subira","20","1","5","Motivação"
"2020/10/01 2:08:55 PM GMT-3","Crônicas de Gelo e Fogo","13","24","4","Alegria"
"2020/10/01 2:16:56 PM GMT-3","Dom Casmurro","15","1 ","5","Motivação"
"2020/10/01 2:17:01 PM GMT-3","Sim. Jogos Vorazes ","16","1","5","Reflexão"
"2020/10/01 2:18:05 PM GMT-3","A cabana","35","2","5","Reflexão"
"2020/10/01 2:23:19 PM GMT-3","O mercador de sonhos - Morseus","20","1","5","Reflexão"
"2020/10/01 2:24:50 PM GMT-3","Viagem ao centro da terra","37","1","5","Motivação"
"2020/10/01 2:26:02 PM GMT-3","sim. percy jackson o ladrão de raios ","16","1","5","Alegria"
"2020/10/01 2:26:24 PM GMT-3","Dom casmurro","17","1","3","Paixão"
"2020/10/01 2:31:30 PM GMT-3","Sim, História de uma Alma","19","1","5","Reflexão"
"2020/10/01 2:45:16 PM GMT-3","Sim, ciça. ","10 ","1 ","5","Reflexão"
"2020/10/01 2:50:03 PM GMT-3","Sim, O Imbecil Coletivo","38","1","5","Reflexão"
"2020/10/01 3:01:27 PM GMT-3","Sim, a saga Halo ","15","1","5","Paixão"
"2020/10/01 3:03:26 PM GMT-3","Sherlock Holmes","20","2","5","Reflexão"
"2020/10/01 3:04:25 PM GMT-3","500 dias sem você ","23","1","4","Reflexão"
"2020/10/01 3:09:11 PM GMT-3","Corte de Espinhos e Rosas","21","0.1","4","Reflexão"
"2020/10/01 3:10:27 PM GMT-3","Corte de Névoa e Fúria","21","0.1","5","Paixão"
"2020/10/01 3:11:39 PM GMT-3","Corte de Asas e Ruína","21","0.1","4","Medo"
"2020/10/01 3:13:40 PM GMT-3","O Ladrão de Raios","17","1","5","Alegria"
"2020/10/01 3:13:59 PM GMT-3","O Mar de Monstros","17","1","5","Alegria"
"2020/10/01 3:14:25 PM GMT-3","A Maldição do Titã","17","1","5","Medo"
"2020/10/01 3:14:59 PM GMT-3","A Batalha do Labirinto","17","1","5","Alegria"
"2020/10/01 3:15:17 PM GMT-3","O Último Olimpiano","17","1","5","Motivação"
"2020/10/01 3:15:24 PM GMT-3","A cabana","15","1","5","Reflexão"
"2020/10/01 3:15:53 PM GMT-3","Poderosa","12","1","4","Alegria"
"2020/10/01 3:16:21 PM GMT-3","O Herói Perdido","17","1","5","Paixão"
"2020/10/01 3:16:41 PM GMT-3","O Filho de Netuno","17","1","5","Alegria"
"2020/10/01 3:17:14 PM GMT-3","A Marca de Atena","17","1","5","Reflexão"
"2020/10/01 3:17:36 PM GMT-3","A Casa de Hades","17","1","5","Medo"
"2020/10/01 3:17:57 PM GMT-3","O Sangue do Olimpo","17","1","5","Medo"
"2020/10/01 3:20:14 PM GMT-3","A espada do verão","18","1","5","Reflexão"
"2020/10/01 3:20:47 PM GMT-3","O Martelo de Thor","20","1","4","Reflexão"
"2020/10/01 3:21:14 PM GMT-3","O Navio dos Mortos","22","1","5","Alegria"
"2020/10/01 3:21:55 PM GMT-3","O Oráculo Oculto","19","1","5","Paixão"
"2020/10/01 3:22:16 PM GMT-3","A profecia das sombras","19","1","5","Alegria"
"2020/10/01 3:22:31 PM GMT-3","O labirinto de fogo","19","1","5","Reflexão"
"2020/10/01 3:22:50 PM GMT-3","A tumba do Tirano","22","1","5","Alegria"
"2020/10/01 3:23:21 PM GMT-3","A Pirâmide Vermelha","21","1","5","Reflexão"
"2020/10/01 3:23:39 PM GMT-3","O Trono de Fogo","21","1","5","Motivação"
"2020/10/01 3:23:54 PM GMT-3","A sombra da serpente","21","1","5","Reflexão"
"2020/10/01 4:30:23 PM GMT-3","O Código da Vinci","17","1","5","Motivação"
"2020/10/01 4:30:51 PM GMT-3","Inferno","17","2","5","Motivação"
"2020/10/01 4:32:17 PM GMT-3","Anjos e Demônios","19","2","5","Motivação"
"2020/10/01 4:34:25 PM GMT-3","O Símbolo Perdido","19","1","5","Motivação"
"2020/10/01 4:55:50 PM GMT-3","Harry Potter e a Pedra Filosofal","7","0.1","4","Reflexão"
"2020/10/01 4:56:54 PM GMT-3","O Ladrão de Raios","14","0.2","5","Alegria"
"2020/10/01 4:58:51 PM GMT-3","Naruto","15","72","5","Motivação"
"2020/10/01 5:52:09 PM GMT-3","Duuna","46","2","5","Alegria"
"2020/10/01 6:06:22 PM GMT-3","Orgulho e preconceito","25","1","4","Paixão"
"2020/10/01 6:16:17 PM GMT-3","Orgulho e Preconceito","17","1","5","Reflexão"
"2020/10/01 6:29:18 PM GMT-3","Admirável mundo novo","22","0","5","Reflexão"
"2020/10/01 7:03:23 PM GMT-3","SIM. AS OBSESSÕES DE UM EXECUTIVO EXTRAORDINÁRIO","39","1","5","Motivação"
"2020/10/01 7:46:03 PM GMT-3","sim, Sherlock Holmes e muitos outros","12","1","5","Motivação"
"2020/10/01 8:01:49 PM GMT-3","Mochileiro das Galaxias vol. 1, 2 e 3","23","2","5","Alegria"
"2020/10/01 8:06:41 PM GMT-3","O grande desafio","12 ","1","5","Reflexão"
"2020/10/01 8:08:08 PM GMT-3","Débora a Deusa do t.i","24"," 6","5","Alegria"
"2020/10/01 8:08:54 PM GMT-3","Como conquistar a Débora","24","6","5","Motivação"
"2020/10/01 8:20:50 PM GMT-3","Harry Potter e a Pedra Filosofal","15","1","5","Alegria"
"2020/10/01 8:21:33 PM GMT-3","Harry Potter e a Câmara Secreta","15","1","5","Medo"
"2020/10/01 8:22:04 PM GMT-3","Harry Potter e o Prisioneiro de Azkaban","15","1","5","Raiva"
"2020/10/01 8:23:23 PM GMT-3","Sim , Enquanto a fila não anda","18","-1","5","Motivação"
"2020/10/01 8:23:38 PM GMT-3","Harry Potter e o Cálice de Fogo","15","1","5","Motivação"
"2020/10/01 8:25:33 PM GMT-3","Harry Potter e a Ordem da Fênix","15","1","5","Raiva"
"2020/10/01 8:26:35 PM GMT-3","Harry Potter e o Enigma do Príncipe","16","1","5","Alegria"
"2020/10/01 8:27:16 PM GMT-3","Harry Potter e as Relíquias da Morte","16","2","5","Alegria"
"2020/10/01 8:29:44 PM GMT-3","O Ladrão de Raios","14","1","5","Paixão"
"2020/10/01 8:30:08 PM GMT-3","O Mar de Monstros","14","1","5","Paixão"
"2020/10/01 8:33:24 PM GMT-3","A Maldição do Titã","14","1","5","Paixão"
"2020/10/01 8:34:02 PM GMT-3","A Batalha do Labirinto","14","1","5","Paixão"
"2020/10/01 8:34:46 PM GMT-3","O Último Olimpiano","14","1","5","Paixão"
"2020/10/01 9:19:52 PM GMT-3","Sim, a saga Halo ","15","1","5","Paixão"
"2020/10/01 10:01:58 PM GMT-3","Drácula ","21 ","1","5","Reflexão"
"2020/10/01 10:33:43 PM GMT-3","O Senhor da Chuva","19","4","5","Alegria"
"2020/10/01 10:34:59 PM GMT-3","A casa caiu","13","1","4","Medo"
"2020/10/01 10:36:00 PM GMT-3","O quarto vermelho","13","2","5","Tristeza"
"2020/10/01 10:36:46 PM GMT-3","Playboy","9","1","5","Alegria"
"2020/10/01 10:37:19 PM GMT-3","Luk40x","20","12","1","Reflexão"
"2020/10/01 11:11:00 PM GMT-3","No coração das trevas","28","1","5","Reflexão"
"2020/10/02 6:06:55 AM GMT-3","Siiiim, saga divergente","17 ","6 ","5","Reflexão"
"2020/10/02 6:08:30 AM GMT-3","Sim, diário de um banana ","15 ","3 ","5","Alegria"
"2020/10/02 6:09:04 AM GMT-3","Sim, o azarão ","16 ","1","5","Alegria"
"2020/10/02 7:34:24 AM GMT-3","Sim. O escaravelho de ouro e outras histórias","22","1","5","Paixão"
"2020/10/02 8:33:36 AM GMT-3","Sim, Harry Potter (saga) Senhor dos anéis (saga) O Hobbit, a Guerra do tronos (game of thrones saga) Maze runner, divergente, assasisin's Creed, the Walking dead, troia, , Peter pan, Nárnia entre outros..","13","9","5","Alegria"
"2020/10/02 8:57:23 AM GMT-3","Sim. O vendedor de sonhos","20","2","5","Reflexão"
"2020/10/02 8:58:31 AM GMT-3","Sim. Carandiru","14","3","5","Tristeza"
"2020/10/02 9:00:07 AM GMT-3","Depois daquela viagem","12","3","4","Raiva"
"2020/10/02 9:45:11 AM GMT-3","Harry Potter, O sol é para todos, O pequeno Príncipe... ","22","1","5","Reflexão"
"2020/10/02 1:30:11 PM GMT-3","O extraordinário ","20","1","5","Paixão"
"2020/10/02 9:22:50 PM GMT-3","Diário de um banana ","3","1","5","Motivação"
"2020/10/03 12:47:32 AM GMT-3","Pequeno príncipe","10 ","3 ","5","Alegria"
"2020/10/03 10:04:38 PM GMT-3","Sol da meia noite","22","2 ","5","Paixão"